title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
"Hello, Love, Goodbye",2019,"Dramas, International Movies, Romantic Movies",117 min,Philippines,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
"Hello, Privilege. It's Me, Chelsea",2019,Documentaries,65 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
HERO MASK,2019,"Anime Series, Crime TV Shows, International TV Shows",2 Seasons,Not Given,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Hi Score Girl,2019,"Anime Series, International TV Shows, Romantic TV Shows",2 Seasons,Japan,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Hidden in Plain Sight,2019,"Dramas, Independent Movies, Thrillers",87 min,United States,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
High & Low The Worst,2019,"Action & Adventure, International Movies",125 min,Not Given,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
High End Yaariyan,2019,"Comedies, International Movies, Romantic Movies",120 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
High Flying Bird,2019,"Dramas, Sports Movies",91 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
High Strung Free Dance,2019,"Dramas, Music & Musicals, Romantic Movies",104 min,"Romania, United States",Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Historical Roasts,2019,"Stand-Up Comedy & Talk Shows, TV Comedies",1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Hoarders,2019,Reality TV,1 Season,Not Given,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Holiday in the Wild,2019,"Children & Family Movies, Dramas, Romantic Movies",86 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Holiday Rush,2019,"Children & Family Movies, Dramas",94 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Holiday Secrets,2019,"International TV Shows, TV Dramas",1 Season,Germany,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Holy Expectations,2019,"Children & Family Movies, Comedies, International Movies",89 min,Not Given,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Home Is Where the Killer Is,2019,"Dramas, Thrillers",87 min,United States,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
HOMECOMING: A film by Beyoncé,2019,"Documentaries, Music & Musicals",138 min,Not Given,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Homeland,2019,"Dramas, Independent Movies, International Movies",73 min,Not Given,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Horrid Henry,2019,"British TV Shows, Kids' TV, TV Comedies",2 Seasons,United Kingdom,TV Show,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Hot Gimmick: Girl Meets Boy,2019,"Dramas, International Movies",120 min,Japan,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
House Arrest,2019,"Comedies, Independent Movies, International Movies",105 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
How High 2,2019,Comedies,89 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Huge in France,2019,TV Comedies,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Human Nature,2019,Documentaries,95 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Hyperdrive,2019,Reality TV,1 Season,United States,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
I am Jonas,2019,"Dramas, Independent Movies, International Movies",82 min,France,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I Am Mother,2019,"International Movies, Sci-Fi & Fantasy, Thrillers",114 min,Australia,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
I Am Woman,2019,"Dramas, Music & Musicals",117 min,Australia,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I Have a Script,2019,"International TV Shows, TV Comedies, TV Dramas",1 Season,Not Given,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
I Hear You,2019,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,Not Given,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
I Lost My Body,2019,"Dramas, Independent Movies, International Movies",81 min,France,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
"I love you, stupid",2019,"Comedies, International Movies, Romantic Movies",88 min,Spain,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I Think You Should Leave with Tim Robinson,2019,TV Comedies,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I'm Leaving Now,2019,"Documentaries, International Movies",75 min,"United States, Mexico",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I'm No Longer Here,2019,"Dramas, Independent Movies, International Movies",112 min,"Mexico, United States",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I'm Sorry,2019,TV Comedies,2 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
I'm with the Band: Nasty Cherry,2019,Reality TV,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Iliza Shlesinger: Unveiled,2019,Stand-Up Comedy,78 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
In Paradox,2019,"International Movies, Sci-Fi & Fantasy, Thrillers",94 min,Kuwait,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
In the Bosom of a Thorn,2019,"International TV Shows, TV Dramas",1 Season,Kuwait,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
In the Shadow of the Moon,2019,"Dramas, Sci-Fi & Fantasy, Thrillers",116 min,"United States, Canada",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
In the Tall Grass,2019,"Horror Movies, Thrillers",102 min,"Canada, United States",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Incoming,2019,"Action & Adventure, Sci-Fi & Fantasy",89 min,"Serbia, United States",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Inhuman Kiss,2019,"Horror Movies, International Movies, Romantic Movies",122 min,Thailand,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Insatiable,2019,"TV Comedies, TV Dramas, Teen TV Shows",2 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Inside Bill's Brain: Decoding Bill Gates,2019,"Docuseries, Science & Nature TV",1 Season,United States,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Inside Man: Most Wanted,2019,Action & Adventure,106 min,United States,Movie,R,2019,13.9,20.1,7.7,1.9,167.09
Instant Hotel,2019,"International TV Shows, Reality TV",2 Seasons,Australia,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Interior Design Masters,2019,"British TV Shows, International TV Shows, Reality TV",1 Season,United Kingdom,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Invader Zim: Enter the Florpus,2019,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",72 min,"South Korea, United States",Movie,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
IO,2019,"Dramas, Sci-Fi & Fantasy",96 min,United States,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Ip Man 4: The Finale,2019,"Action & Adventure, Dramas, International Movies",105 min,"Hong Kong, China",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Iron Fists and Kung-Fu Kicks,2019,"Documentaries, International Movies",108 min,Australia,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Iron Sky: The Coming Race,2019,"Action & Adventure, Comedies, International Movies",93 min,"Finland, Germany, Belgium",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Isa Pa with Feelings,2019,"International Movies, Romantic Movies",102 min,Philippines,Movie,TV-G,2019,13.9,20.1,7.7,1.9,167.09
It Takes a Lunatic,2019,Documentaries,127 min,"United States, United Kingdom, Germany",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
It's Bruno!,2019,TV Comedies,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
IZombie,2019,"TV Comedies, TV Dramas, TV Horror",5 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jack Whitehall: Christmas with My Father,2019,Stand-Up Comedy,65 min,United Kingdom,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jacob's Ladder,2019,Thrillers,90 min,United States,Movie,R,2019,13.9,20.1,7.7,1.9,167.09
Jada,2019,"Dramas, International Movies, Sports Movies",124 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Jailbirds,2019,Reality TV,1 Season,Not Given,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jane The Virgin,2019,"Romantic TV Shows, TV Comedies, TV Dramas",5 Seasons,United States,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Jarhead: Law of Return,2019,"Action & Adventure, Dramas",103 min,"Israel, United States",Movie,R,2019,13.9,20.1,7.7,1.9,167.09
Jeff Dunham: Beside Himself,2019,Stand-Up Comedy,58 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jeff Garlin: Our Man In Chicago,2019,Stand-Up Comedy,59 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jenny Slate: Stage Fright,2019,"Documentaries, Stand-Up Comedy",67 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jeopardy!,2019,Reality TV,2 Seasons,United States,TV Show,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Jezebel,2019,"Dramas, Independent Movies",86 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,2019,Stand-Up Comedy,58 min,Not Given,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jinn,2019,"International TV Shows, TV Dramas, TV Mysteries",1 Season,Jordan,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Jo Koy: Comin' In Hot,2019,Stand-Up Comedy,60 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
John Mulaney & The Sack Lunch Bunch,2019,"Children & Family Movies, Comedies",70 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Joy,2019,"Dramas, Independent Movies, International Movies",101 min,Austria,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Juanita,2019,"Dramas, Independent Movies, Romantic Movies",90 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Juman,2019,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,Kuwait,TV Show,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Justine,2019,"Dramas, Independent Movies",106 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kaagar,2019,"Dramas, International Movies, Romantic Movies",130 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kaake Da Viyah,2019,"Comedies, Dramas, International Movies",133 min,India,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Kabaneri of the Iron Fortress: The Battle of Unato,2019,"Anime Series, International TV Shows, TV Horror",1 Season,Japan,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kabir Singh,2019,"Dramas, International Movies, Romantic Movies",171 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kakegurui,2019,"International TV Shows, TV Dramas, TV Thrillers",2 Seasons,Not Given,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kalek Shanab,2019,"Comedies, International Movies",80 min,United Arab Emirates,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
"Kalel, 15",2019,"Dramas, Independent Movies, International Movies",105 min,Philippines,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kandasamys: The Wedding,2019,"Comedies, Dramas, International Movies",93 min,South Africa,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Kardec,2019,"Dramas, Faith & Spirituality, International Movies",110 min,Brazil,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Kasanova,2019,"Comedies, International Movies, Romantic Movies",117 min,Nigeria,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Katherine Ryan: Glitter Room,2019,Stand-Up Comedy,66 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
KD (A) Karuppudurai,2019,"Comedies, Dramas, Independent Movies",116 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,2019,Docuseries,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
"Ken Jeong: You Complete Me, Ho",2019,Stand-Up Comedy,62 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
KENGAN ASHURA,2019,"Anime Series, International TV Shows",2 Seasons,"United States, Japan",TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kevin Hart: Dont F**k This Up,2019,Docuseries,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kevin Hart: Irresponsible,2019,Stand-Up Comedy,60 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kevin Hart's Guide to Black History,2019,"Children & Family Movies, Comedies",63 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Kidnapping Stella,2019,"Dramas, International Movies, Thrillers",90 min,Germany,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Kids on the Block,2019,"Children & Family Movies, Comedies",102 min,Turkey,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Kill Me If You Dare,2019,"Comedies, International Movies, Romantic Movies",100 min,Turkey,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Killer Cove,2019,Thrillers,87 min,United States,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Killer Ratings,2019,"Crime TV Shows, Docuseries, International TV Shows",1 Season,Not Given,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Klaus,2019,"Children & Family Movies, Comedies",98 min,"Spain, United Kingdom",Movie,PG,2019,13.9,20.1,7.7,1.9,167.09
Knightfall,2019,TV Dramas,2 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Knock Down The House,2019,Documentaries,88 min,United States,Movie,PG,2019,13.9,20.1,7.7,1.9,167.09
Kolaiyuthir Kaalam,2019,"International Movies, Thrillers",107 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Krishna Balram,2019,Kids' TV,1 Season,Not Given,TV Show,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Krutant,2019,"Dramas, International Movies",114 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
L.A.s Finest,2019,"Crime TV Shows, TV Action & Adventure, TV Comedies",1 Season,United States,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Léa & I,2019,Documentaries,84 min,Not Given,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
La Reina del Sur,2019,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2 Seasons,"Mexico, United States, Spain, Colombia",TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Ladies Up,2019,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1 Season,India,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Lady Driver,2019,"Dramas, Sports Movies",104 min,United States,Movie,PG,2019,13.9,20.1,7.7,1.9,167.09
Lady J,2019,"Dramas, Independent Movies, International Movies",111 min,France,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Larry Charles' Dangerous World of Comedy,2019,"Docuseries, TV Comedies",1 Season,Not Given,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Larva Island,2019,"Kids' TV, Korean TV Shows, TV Comedies",2 Seasons,Not Given,TV Show,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Last Breath,2019,"Documentaries, International Movies",86 min,"United Kingdom, Belgium, Sweden",Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Last Ferry,2019,"Dramas, Independent Movies, LGBTQ Movies",86 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
League of Legends Origins,2019,Documentaries,78 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Legacies,2019,"TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows",2 Seasons,United States,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Legend Quest: Masters of Myth,2019,Kids' TV,1 Season,Mexico,TV Show,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
LEGO Jurassic World: Legend of Isla Nublar,2019,Kids' TV,1 Season,United States,TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
LEGO Ninjago: Masters of Spinjitzu,2019,Kids' TV,10 Seasons,"Denmark, Singapore, Canada, United States",TV Show,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
LEGO: CITY Adventures,2019,"Kids' TV, TV Comedies",1 Season,"United States, France",TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Leila,2019,"International TV Shows, TV Dramas, TV Mysteries",1 Season,India,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Let It Snow,2019,"Comedies, Dramas, LGBTQ Movies",93 min,United States,Movie,PG-13,2019,13.9,20.1,7.7,1.9,167.09
Levius,2019,"Anime Series, International TV Shows",1 Season,Japan,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Life Overtakes Me,2019,Documentaries,40 min,"Sweden, United States",Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Light in the Dark,2019,"Dramas, International Movies",105 min,Nigeria,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Lil Peep: Everybodys Everything,2019,"Documentaries, Music & Musicals",116 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Liss Pereira: Reteniendo líquidos,2019,Stand-Up Comedy,59 min,Brazil,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Little Baby Bum: Go Buster,2019,Children & Family Movies,58 min,Not Given,Movie,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Little Baby Bum: Nursery Rhyme Friends,2019,"British TV Shows, Kids' TV",2 Seasons,United Kingdom,TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Little Singham Bandarpur Mein Hu Ha Hu,2019,"Children & Family Movies, Comedies",67 min,Not Given,Movie,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Little Singham in London,2019,"Children & Family Movies, Comedies",66 min,Not Given,Movie,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Little Singham: Kaal Ki Tabaahi,2019,"Children & Family Movies, Comedies",66 min,Not Given,Movie,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Little Singham: Mahabali,2019,"Children & Family Movies, Comedies",69 min,Not Given,Movie,TV-Y7,2019,13.9,20.1,7.7,1.9,167.09
Little Things,2019,"International TV Shows, Romantic TV Shows, TV Comedies",3 Seasons,India,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Living in Bondage: Breaking Free,2019,"Horror Movies, International Movies, Thrillers",149 min,Nigeria,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Living Undocumented,2019,Docuseries,1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Living with Yourself,2019,"TV Comedies, TV Dramas",1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Llama Llama,2019,Kids' TV,2 Seasons,United States,TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Lola Igna,2019,"Comedies, International Movies",114 min,Philippines,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
"Lorena, Light-Footed Woman",2019,"Documentaries, International Movies, Sports Movies",28 min,Mexico,Movie,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Los Tigres del Norte at Folsom Prison,2019,"Documentaries, International Movies, Music & Musicals",64 min,United States,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Losers,2019,Docuseries,1 Season,Not Given,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Lost in Space,2019,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2 Seasons,United States,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Love Alarm,2019,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,South Korea,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Love Dot Com: The Social Experiment,2019,"Comedies, Romantic Movies",98 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Love for Sale 2,2019,"Dramas, International Movies, Romantic Movies",96 min,Indonesia,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Love Is Blind,2019,"Dramas, Independent Movies, Romantic Movies",93 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Love Is War,2019,"Comedies, Dramas, International Movies",111 min,Nigeria,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Love on the Spectrum,2019,"Docuseries, International TV Shows, Reality TV",1 Season,Australia,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
"Love, Death & Robots",2019,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy",1 Season,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Loving is Losing,2019,"Comedies, International Movies, Romantic Movies",91 min,Colombia,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Luccas Neto in: Children's Day,2019,"Children & Family Movies, Comedies, Music & Musicals",81 min,Not Given,Movie,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Luccas Neto in: Summer Camp,2019,"Children & Family Movies, Comedies, Music & Musicals",87 min,Brazil,Movie,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Luccas Neto in: The End of Christmas,2019,"Children & Family Movies, Comedies, Music & Musicals",71 min,Brazil,Movie,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Luckee,2019,"Comedies, International Movies, Romantic Movies",113 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Lugar de Mulher,2019,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1 Season,Brazil,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Luka Chuppi,2019,"Comedies, International Movies, Romantic Movies",125 min,India,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Lunatics,2019,"International TV Shows, TV Comedies",1 Season,Australia,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Madam Secretary,2019,TV Dramas,6 Seasons,United States,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Made in China,2019,"Comedies, Dramas, International Movies",128 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Magical Andes,2019,"Docuseries, International TV Shows, Science & Nature TV",1 Season,"Uruguay, Germany",TV Show,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Malaal,2019,"Dramas, International Movies, Romantic Movies",133 min,India,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Malibu Rescue,2019,"Children & Family Movies, Comedies",70 min,United States,Movie,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Malibu Rescue: The Series,2019,"Kids' TV, TV Action & Adventure, TV Comedies",1 Season,United States,TV Show,TV-G,2019,13.9,20.1,7.7,1.9,167.09
Mallesham,2019,"Dramas, Independent Movies, International Movies",131 min,India,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Manmadhudu 2,2019,"Comedies, Dramas, International Movies",152 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Marcella,2019,"British TV Shows, Crime TV Shows, International TV Shows",3 Seasons,United Kingdom,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Maria,2019,"Action & Adventure, International Movies",90 min,Philippines,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Marianne,2019,"International TV Shows, TV Dramas, TV Horror",1 Season,France,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Marriage Story,2019,Dramas,137 min,"United Kingdom, United States",Movie,R,2019,13.9,20.1,7.7,1.9,167.09
Married at First Sight,2019,"Reality TV, Romantic TV Shows",1 Season,United States,TV Show,TV-14,2019,13.9,20.1,7.7,1.9,167.09
"Martin Matte: La vie, la mort...eh la la..!",2019,Stand-Up Comedy,62 min,Canada,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Marvel's Jessica Jones,2019,"Crime TV Shows, TV Action & Adventure, TV Dramas",3 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Marvel's The Punisher,2019,"Crime TV Shows, TV Action & Adventure, TV Thrillers",2 Seasons,United States,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Masha and the Bear,2019,Kids' TV,4 Seasons,Russia,TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Mayday Life,2019,"International Movies, Music & Musicals",120 min,"China, Taiwan",Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Medici: Masters of Florence,2019,"International TV Shows, TV Dramas",3 Seasons,"Italy, United Kingdom, France",TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Mehandi Circus,2019,"Dramas, International Movies, Romantic Movies",126 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Memories of a Teenager,2019,"Dramas, International Movies, LGBTQ Movies",97 min,Argentina,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Mercy Black,2019,Horror Movies,88 min,United States,Movie,TV-14,2019,13.9,20.1,7.7,1.9,167.09
Mere Pyare Prime Minister,2019,"Dramas, International Movies",103 min,India,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Merry Happy Whatever,2019,TV Comedies,1 Season,United States,TV Show,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Merry Men 2: Another Mission,2019,"Comedies, International Movies",115 min,Nigeria,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Mi amigo Alexis,2019,"Children & Family Movies, Comedies, Dramas",102 min,Chile,Movie,TV-PG,2019,13.9,20.1,7.7,1.9,167.09
Michelle Wolf: Joke Show,2019,Stand-Up Comedy,60 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Midnight Diner: Tokyo Stories,2019,"International TV Shows, TV Dramas",2 Seasons,Japan,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Mighty Little Bheem: Diwali,2019,"Kids' TV, TV Comedies",1 Season,India,TV Show,TV-Y,2019,13.9,20.1,7.7,1.9,167.09
Mike Birbiglia: The New One,2019,Stand-Up Comedy,86 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Mike Epps: Only One Mike,2019,Stand-Up Comedy,63 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Miles Davis: Birth of the Cool,2019,"Documentaries, Music & Musicals",115 min,United States,Movie,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
Millennials,2019,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2 Seasons,Argentina,TV Show,TV-MA,2019,13.9,20.1,7.7,1.9,167.09
