title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
Rise of Empires: Ottoman,2020,Docuseries,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Old Ways,2020,Horror Movies,90 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Unroyal,2020,"Dramas, International Movies",97 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
A Faraway Land,2020,"Dramas, International Movies, Romantic Movies",102 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Out of my league,2020,"Comedies, Dramas, International Movies",92 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Nneka The Pretty Serpent,2020,"Dramas, International Movies",140 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
La diosa del asfalto,2020,"Dramas, Independent Movies, International Movies",127 min,Mexico,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Quam's Money,2020,"Comedies, Dramas, International Movies",115 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
I'm Glad I Did,2020,"Documentaries, International Movies",114 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Sanitation Day,2020,"Dramas, International Movies, Thrillers",105 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Milkwater,2020,"Comedies, Dramas, Independent Movies",102 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
2 Weeks in Lagos,2020,"Dramas, International Movies, Romantic Movies",107 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Born to Play,2020,"Documentaries, Sports Movies",93 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Finding Hubby,2020,"Comedies, Dramas, International Movies",105 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Mama Drama,2020,"Dramas, International Movies",105 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
HQ Barbers,2020,TV Shows,1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Takizawa Kabuki ZERO 2020 The Movie,2020,"International Movies, Music & Musicals",139 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Clash,2020,"Dramas, International Movies",87 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Therapy,2020,"Dramas, International Movies",85 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Har Kisse Ke Hisse: Kaamyaab,2020,"Dramas, International Movies",105 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Holiday on Mars,2020,"Comedies, International Movies",94 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
RattleSnake - The Ahanna Story,2020,"Dramas, International Movies, Thrillers",136 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Quarantine Tales,2020,"International TV Shows, TV Comedies, TV Dramas",1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Voiceless,2020,"Dramas, International Movies, Thrillers",112 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Deranged,2020,"Dramas, International Movies",98 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Legend of Exorcism,2020,"Anime Series, Crime TV Shows, International TV Shows",1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
A Way Back Home,2020,"Dramas, International Movies",82 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Cleo & Cuquin,2020,Kids' TV,2 Seasons,Spain,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Gameboys Level-Up Edition,2020,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Kambili: The Whole 30 Yards,2020,"Comedies, International Movies, Romantic Movies",119 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Fan Girl,2020,"Dramas, Independent Movies, International Movies",101 min,Philippines,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Silver Skates,2020,"Action & Adventure, Dramas, International Movies",138 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Rogue Warfare: Death of a Nation,2020,Action & Adventure,99 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Picture a Scientist,2020,Documentaries,97 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Small Chops,2020,"Dramas, International Movies, Romantic Movies",98 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
From Stress to Happiness,2020,"Documentaries, International Movies",58 min,Argentina,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
2 Hearts,2020,"Dramas, Faith & Spirituality, Romantic Movies",101 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
